"","name","y","x","degree","in_degree","out_degree","strength","in_strength","out_strength","evcent","pagerank","auth_score","hub_score","betweenness","n.degree","n.strength","n.in_strength","n.out_strength","n.betweenness","n.evcent","n.pagerank","n.auth_score","n.hub_score"
"1","1",-29.2696,-71.492104,4,2,2,1.79628571428571,0.796285714285714,1,2.77555758791864e-17,0.0209712634649253,0,0,8,0.363636363636364,0.011225024238362,0.00995044849982044,0.0125,0.25,2.77555758791864e-17,0.179569470406651,0,0
"2","2",-30.2873,-71.533302,4,4,0,0.0264217355172504,0.0264217355172504,0,1.13875576717126e-12,0.00725588289495971,1.08246744922948e-15,0,0,0.363636363636364,0.000165109937267782,0.000330168071363821,0,0,1.13875576717126e-12,0.0239327170726379,1.08246744922948e-15,0
"3","3",-29.2918,-71.546097,5,2,3,0.250240174672489,0.114240174672489,0.136,0,0.0162279664912017,0,0,5,0.454545454545455,0.00156375570087279,0.00142755414833578,0.0017,0.15625,0,0.125744398814689,0,0
"4","4",-29.614,-71.291,2,1,1,14.6520146520147,7.32600732600733,7.32600732600733,2.77555758791864e-17,0.0343121923949706,0,0,0,0.181818181818182,0.091560723498322,0.0915463599295304,0.0915750915750916,0,2.77555758791864e-17,0.330957093560096,0,0
"5","5",-30.2894,-71.662201,6,2,4,0.16274672489083,0.0262467248908297,0.1365,4.59100298251971e-09,0.00608357599056891,4.29350999285405e-13,1.40208613211711e-09,3,0.545454545454545,0.00101700743767259,0.000327981124902421,0.00170625,0.09375,4.59100298251971e-09,0.0106298386304622,4.29350999285405e-13,1.40208613211711e-09
"6","6",-30.3242,-71.6744,4,3,1,51.3295512820513,25.6885256410256,25.6410256410256,2.21524176107968e-09,0.0539798446896527,6.70514389980689e-09,2.14908463358596e-09,0,0.363636363636364,0.320759360664618,0.321005823464549,0.320512820512821,0,2.21524176107968e-09,0.554137889253776,6.70514389980689e-09,2.14908463358596e-09
"7","7",-30.239901,-71.634399,8,4,4,0.0920872845444837,0.0530872845444837,0.039,3.43786550846694e-05,0.00928057994037365,7.3046898267225e-09,6.87500048446009e-05,20,0.727272727272727,0.000575455225655909,0.00066338285539763,0.0004875,0.625,3.43786550846694e-05,0.0469081841423048,7.3046898267225e-09,6.87500048446009e-05
"8","8",-29.857901,-71.277603,0,0,0,0,0,0,0,0.00514682885924559,6.93889390531716e-18,0,0,0,0,0,0,0,0,0,6.93889390531716e-18,0
"9","9",-29.901199,-71.2761,0,0,0,0,0,0,0,0.00514682885924559,6.93889390531716e-18,0,0,0,0,0,0,0,0,0,6.93889390531716e-18,0
"10","10",-30.7272,-71.707703,2,1,1,67.7966101694915,33.8983050847458,33.8983050847458,1.59594561305322e-16,0.0343121923949706,0,4.16333647892189e-17,0,0.181818181818182,0.423662330763422,0.423595868826471,0.423728813559322,0,1.59594561305322e-16,0.330957093560096,0,4.16333647892189e-17
"11","11",-30.291901,-71.583603,1,1,0,0.00432152117545376,0.00432152117545376,0,2.46080935744866e-13,0.00528747788536482,2.28983498875466e-16,0,0,0.0909090909090909,2.70052695711343e-05,5.40020662505657e-05,0,0,2.46080935744866e-13,0.00159602992225554,2.28983498875466e-16,0
"12","12",-29.190399,-71.498398,5,2,3,0.196321360402568,0.0727919486378622,0.123529411764706,1.38777879395932e-17,0.011815231146027,0,0,8,0.454545454545455,0.00122681598562027,0.0009096138774414,0.00154411764705882,0.25,1.38777879395932e-17,0.0756704107877602,0,0
"13","13",-29.1332,-71.4991,5,2,3,1.37291093428522,0.755506804491708,0.61740412979351,0,0.0932711328951374,0,0,12,0.454545454545455,0.00857934703366048,0.00944087205696279,0.00771755162241888,0.375,0,1,0,0
"14","14",-30.283899,-71.599899,2,1,1,0.0496006725514922,0.0248003362757461,0.0248003362757461,6.93889396979659e-18,0.0343121923949706,0,0,0,0.181818181818182,0.000309955563973828,0.000309906939761443,0.000310004203446826,0,6.93889396979659e-18,0.330957093560096,0,0
"15","15",-29.314699,-71.354401,0,0,0,0,0,0,0,0.00514682885924559,6.93889390531716e-18,0,0,0,0,0,0,0,0,0,6.93889390531716e-18,0
"16","16",-30.1845,-71.404503,8,2,6,0.318277406893251,0.0970155227100182,0.221261884183232,9.11058906418984e-09,0.00847203545565231,5.10702591431343e-15,4.36853345617969e-12,23,0.727272727272727,0.00198892168349756,0.00121231355164413,0.00276577355229041,0.71875,9.11058906418984e-09,0.0377331388064342,5.10702591431343e-15,4.36853345617969e-12
"17","17",-30.0555,-71.386101,9,4,5,1.023971784572,0.513971784572,0.51,3.24337171313563e-10,0.0667627952999029,8.32667268638059e-16,1.36890503426952e-13,6,0.818181818181818,0.00639881952509438,0.00642263157682301,0.006375,0.1875,3.24337171313563e-10,0.699193793525587,8.32667268638059e-16,1.36890503426952e-13
"18","18",-28.6537,-71.294701,3,1,2,6.7286282306163,3.35884691848907,3.36978131212724,2.77555758791864e-17,0.0336926713002656,0,0,0,0.272727272727273,0.0420473282055961,0.0419724135214285,0.0421222664015905,0,2.77555758791864e-17,0.323927011433687,0,0
"19","19",-29.8265,-71.308403,6,2,4,2.19736026200873,1.00786026200873,1.1895,9.54791810244011e-15,0.0181686298888521,0,0,0,0.545454545454545,0.0137313468594108,0.0125943005785673,0.01486875,0,9.54791810244011e-15,0.14776628504553,0,0
"20","20",-30.4659,-71.697601,4,3,1,160.025107843137,80.0251078431372,80,1,0.042312302163688,1,1,0,0.363636363636364,1,1,1,0,1,0.421739197955032,1,1
"21","21",-29.6637,-71.319099,5,2,3,2.306,1.149,1.157,0,0.033498770583999,0,0,0,0.454545454545455,0.0144102386874217,0.0143579937718076,0.0144625,0,0,0.321726702241031,0,0
